name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Fábio Vieira,ARS,MID,5.5,Available,290,24,0,2.2,0.1
G.Jesus,ARS,FWD,7.0,Available,1470,85,10,3.1,1.4
Gabriel,ARS,DEF,6.0,Available,3042,149,8,4.1,12.1
Havertz,ARS,FWD,8.0,Available,2627,180,15,4.9,13.6
Hein,ARS,GKP,4.0,Available,0,0,0,0.0,0.2
J.Timber,ARS,DEF,5.5,Available,70,0,0,0.0,2.1
Jorginho,ARS,MID,5.0,Available,913,44,1,1.8,0.3
Kiwior,ARS,DEF,5.0,Available,942,67,1,3.4,0.3
Martinelli,ARS,MID,7.0,Available,2010,118,6,3.4,4.2
Nelson,ARS,MID,5.0,Available,256,16,0,1.1,0.1
Nketiah,ARS,FWD,6.0,Available,1065,71,5,2.6,0.4
Nwaneri,ARS,MID,4.5,Available,13,1,0,1.0,0.2
Ødegaard,ARS,MID,8.5,Available,3098,186,26,5.3,17.0
Ramsdale,ARS,GKP,4.5,Available,540,20,0,3.3,0.9
Raya,ARS,GKP,5.5,Available,2880,135,6,4.2,22.4
Rice,ARS,MID,6.5,Available,3225,165,17,4.3,5.6
Saka,ARS,MID,10.0,Available,2922,226,29,6.5,26.3
Saliba,ARS,DEF,6.0,Available,3420,164,13,4.3,41.0
Smith Rowe,ARS,MID,5.5,Available,343,25,0,1.9,1.4
Thomas,ARS,MID,5.0,Available,785,24,0,1.7,0.1
Tierney,ARS,DEF,4.5,Available,0,0,0,0.0,0.2
Tomiyasu,ARS,DEF,5.0,Available,1140,70,4,3.2,0.4
Trossard,ARS,MID,7.0,Available,1633,138,11,4.1,3.3
White,ARS,DEF,6.5,Available,2987,182,14,4.9,12.1
Zinchenko,ARS,DEF,5.0,Available,1717,104,16,3.9,1.6
Calafiori,ARS,DEF,6.0,Available,0,0,0,0.0,0.5
Alex Moreno,AVL,DEF,4.5,Available,1024,49,5,2.3,0.8
Archer,AVL,FWD,5.0,Available,1829,82,9,2.7,1.1
Bailey,AVL,MID,6.5,Available,2063,148,11,4.2,4.6
Barkley,AVL,MID,5.5,Available,2616,101,4,3.2,1.1
Barrenechea,AVL,MID,5.0,Available,0,0,0,0.0,0.1
Buendia,AVL,MID,5.5,Available,0,0,0,0.0,0.2
Cash,AVL,DEF,4.5,Available,2138,64,4,2.2,2.9
Dendoncker,AVL,MID,4.5,Available,118,20,3,2.5,0.9
Diaby,AVL,MID,6.5,NotAvail,2168,142,10,3.7,0.7
Diego Carlos,AVL,DEF,4.5,Available,1809,55,1,2.0,0.6
Digne,AVL,DEF,4.5,Available,2405,85,5,2.6,1.9
Dobbin,AVL,MID,5.0,Available,226,18,0,1.5,0.0
Duran,AVL,FWD,6.0,Available,461,50,7,2.2,0.4
Gauci,AVL,GKP,4.0,Available,0,0,0,0.0,0.3
Hause,AVL,DEF,4.0,Available,0,0,0,0.0,0.5
Iling Jr,AVL,MID,5.5,Available,0,0,0,0.0,0.2
Kamara,AVL,MID,5.0,Injured,1653,40,1,2.0,0.0
Kesler-Hayden,AVL,DEF,4.0,Available,5,3,0,1.0,0.2
Konsa,AVL,DEF,4.5,Available,3069,91,7,2.6,18.2
Maatsen,AVL,DEF,5.0,Available,200,11,0,0.9,5.3
Marschall,AVL,GKP,4.0,NotAvail,0,0,0,0.0,0.0
Martinez,AVL,GKP,5.0,Available,3015,115,19,3.4,13.2
McGinn,AVL,MID,5.5,Available,3000,119,9,3.4,1.8
Mings,AVL,DEF,4.5,Available,30,0,0,0.0,0.6
Nedeljkovic,AVL,DEF,4.0,Available,0,0,0,0.0,0.2
